NAME,STATE,COUNTY,B01001_001E,B01001_002E,B01001_026E,B01001A_001E,B01001A_002E,B01001A_017E,B01001A_001E,B01001B_002E,B01001A_017E,B01001C_001E,B01001C_002E,B01001C_017E,B01001D_001E,B01001D_002E,B01001D_017E,B01001F_001E,B01001F_002E,B01001F_017E,B01001G_001E,B01001G_002E,B01001G_017E,B01001H_001E,B01001H_002E,B01001H_017E,B01001I_001E,B01001I_002E,B01001I_017E,B01002_001E,B01002A_001E,B01002B_001E,B01002C_001E,B01002D_001E,B01002F_001E,B01002G_001E,B01002H_001E,B01002I_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02013_001E,B02018_008E,B03001_004E,B03001_005E,B03001_008E,B03001_016E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_018E,B03002_019E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,B05002_003E,B05006_124E,B05006_139E,B05010_001E,B05010_002E,B05010_007E,B05010_010E,B05010_015E,B05010_018E,B05010_023E,B05011_002E,B05011_003E,B05011_004E,B05011_005E,B05012_003E,B05013_002E,B05013_021E,B06002_001E,B06002_002E,B06002_003E,B06002_005E,B06004A_002E,B06004B_002E,B06004C_002E,B06004D_002E,B06004F_002E,B06004G_002E,B06004H_002E,B06004I_002E,B06008_002E,B06008_003E,B06008_004E,B06008_005E,B06008_006E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06011_001E,B06011_002E,B06011_003E,B06011_005E,B06012_001E,B06012_002E,B06012_003E,B06012_003E,B06012_018E,B06012_019E,B06012_020E,B07001_017E,B07001_018E,B07001_019E,B07001_020E,ucgid,B01001_001P,B01001_002P,B01001_026P,B01001A_001P,B01001A_002P,B01001A_017P,B01001A_001P,B01001A_017P,B01001C_001P,B01001C_002P,B01001C_017P,B01001D_001P,B01001D_002P,B01001D_017P,B01001F_001P,B01001F_002P,B01001F_017P,B01001G_001P,B01001G_002P,B01001G_017P,B01001H_001P,B01001H_002P,B01001H_017P,B01001I_001P,B01001I_002P,B01001I_017P,B01002_001P,B01002A_001P,B01002B_001P,B01002C_001P,B01002D_001P,B01002F_001P,B01002G_001P,B01002H_001P,B01002I_001P,B02008_001P,B02009_001P,B02010_001P,B02011_001P,B02013_001P,B05010_001P,B05010_002P,B05010_007P,B05010_010P,B05010_015P,B05010_018P,B05010_023P,B06002_001P,B06002_002P,B06002_003P,B06002_005P,B06011_001P,B06011_002P,B06011_003P,B06011_005P,B06012_001P,B06012_002P,B06012_003P,B06012_003P,B06012_018P,B06012_019P,B06012_020P
"Routt County, Colorado",08,107,24874,12915,11959,23601,12244,11357,23601,172,11357,150,44,106,259,93,166,416,248,168,250,114,136,22270,11704,10566,1740,805,935,39.8,40.7,37.6,31.3,41.8,19.2,19.2,42.0,29.5,23840,254,210,373,447,11,1198,36,50,48,1331,0,34,0,321,54,22988,51,377,692,766,8841,407,301,4532,427,286,545,151,3560,399,766,692,108,134,1458,690,768,39.8,23.6,48.7,36.8,8370,16,67,25,252,111,7661,953,6976,10773,2451,222,838,3613,4871,5923,3309,35577,30247,38689,31370,24578,2640,1156,1156,255,143,1051,20805,707,3243,397,0500000US08107,100%,51.9%,48.1%,100%,51.9%,48.1%,100%,48.1%,100%,29.3%,70.7%,100%,35.9%,64.1%,100%,59.6%,40.4%,100%,45.6%,54.4%,100%,52.6%,47.4%,100%,46.3%,53.7%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,9.4%,6.3%,12%,3.3%,78.6%,8.8%,100%,59.3%,122.4%,92.5%,100%,85%,108.7%,88.2%,100%,10.7%,4.7%,4.7%,1%,0.6%,4.3%
"Hayden CCD, Routt County, Colorado",08,107,2556,1292,1264,2383,1220,1163,2383,7,1163,65,18,47,6,5,1,13,7,6,81,35,46,2178,1124,1054,246,114,132,45.1,46.7,-666666666.0,13.9,-666666666.0,-666666666.0,19.1,46.2,47.2,2464,31,111,18,13,1,178,16,0,0,205,0,5,0,13,23,2469,0,47,12,28,1339,6,6,537,32,4,126,49,379,69,28,12,0,5,40,16,24,45.1,39.3,49.3,41.9,1270,8,5,0,0,56,1104,194,574,1179,226,17,161,669,666,229,163,32158,29347,34808,-666666666,2554,285,199,199,0,5,34,2151,81,352,101,0600000US0810791729,100%,50.5%,49.5%,100%,51.2%,48.8%,100%,48.8%,100%,27.7%,72.3%,100%,83.3%,16.7%,100%,53.8%,46.2%,100%,43.2%,56.8%,100%,51.6%,48.4%,100%,46.3%,53.7%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,6%,0.7%,23.5%,9.1%,70.6%,12.8%,100%,87.1%,109.3%,92.9%,100%,91.3%,108.2%,-2073097.4%,100%,11.2%,7.8%,7.8%,0%,0.2%,1.3%
"Oak Creek CCD, Routt County, Colorado",08,107,3240,1601,1639,3039,1513,1526,3039,6,1526,38,4,34,7,0,7,87,37,50,57,41,16,2955,1495,1460,148,56,92,46.2,46.8,58.0,19.5,-666666666.0,24.3,33.6,47.1,33.9,3096,22,38,23,118,0,105,0,0,13,84,0,7,0,26,31,3150,9,24,22,35,1313,16,3,522,34,24,57,13,431,68,35,22,0,10,57,23,34,46.2,34.7,49.3,47.7,1209,0,35,0,59,10,1141,82,573,1621,425,42,130,567,748,639,476,36604,33152,40147,-666666666,3234,328,162,162,0,0,57,2699,51,384,41,0600000US0810792717,100%,49.4%,50.6%,100%,49.8%,50.2%,100%,50.2%,100%,10.5%,89.5%,100%,0%,100%,100%,42.5%,57.5%,100%,71.9%,28.1%,100%,50.6%,49.4%,100%,37.8%,62.2%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,6.5%,4.6%,10.9%,2.5%,82.6%,13%,100%,75.1%,106.7%,103.2%,100%,90.6%,109.7%,-1821294.6%,100%,10.1%,5%,5%,0%,0%,1.8%
"Steamboat Springs CCD, Routt County, Colorado",08,107,18143,9472,8671,17328,9030,8298,17328,157,8298,47,22,25,233,84,149,253,141,112,112,38,74,16314,8616,7698,1255,560,695,38.1,38.5,37.5,54.2,42.9,16.9,18.5,39.9,28.2,17429,198,61,319,253,10,904,20,39,35,1014,0,22,0,219,0,16493,42,294,652,662,5627,385,292,3249,326,248,316,89,2607,259,662,652,108,115,1314,612,702,38.1,19.6,48.2,36.9,5360,8,27,21,166,45,4893,642,5643,7502,1746,163,509,2125,3367,4901,2616,35920,30268,39060,31202,17857,1855,766,766,216,138,952,15200,563,2325,204,0600000US0810793496,100%,52.2%,47.8%,100%,52.1%,47.9%,100%,47.9%,100%,46.8%,53.2%,100%,36.1%,63.9%,100%,55.7%,44.3%,100%,33.9%,66.1%,100%,52.8%,47.2%,100%,44.6%,55.4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,10%,7.6%,9.7%,2.7%,80.2%,8%,100%,51.4%,126.5%,96.9%,100%,84.3%,108.7%,86.9%,100%,10.4%,4.3%,4.3%,1.2%,0.8%,5.3%
"Yampa CCD, Routt County, Colorado",08,107,935,550,385,851,481,370,851,2,370,0,0,0,13,4,9,63,63,0,0,0,0,823,469,354,91,75,16,35.2,38.9,-666666666.0,-666666666.0,27.5,16.1,-666666666.0,37.9,16.5,851,3,0,13,63,0,11,0,11,0,28,0,0,0,63,0,876,0,12,6,41,562,0,0,224,35,10,46,0,143,3,41,6,0,4,47,39,8,35.2,29.2,58.7,16.7,531,0,0,4,27,0,523,35,186,471,54,0,38,252,90,154,54,25592,21875,36042,16250,933,172,29,29,39,0,8,755,12,182,51,0600000US0810793933,100%,58.8%,41.2%,100%,56.5%,43.5%,100%,43.5%,NaN%,NaN%,NaN%,100%,30.8%,69.2%,100%,100%,0%,NaN%,NaN%,NaN%,100%,57%,43%,100%,82.4%,17.6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,100%,100%,100%,15.6%,4.5%,20.5%,0%,63.8%,1.3%,100%,83%,166.8%,47.4%,100%,85.5%,140.8%,63.5%,100%,18.4%,3.1%,3.1%,4.2%,0%,0.9%
"Hayden town, Hayden CCD, Routt County, Colorado",08,107,1791,955,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079172935070,100%,53.3%,46.7%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Remainder of Hayden CCD, Hayden CCD, Routt County, Colorado",08,107,765,337,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079172999999,100%,44.1%,55.9%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Oak Creek town, Oak Creek CCD, Routt County, Colorado",08,107,894,490,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079271755155,100%,54.8%,45.2%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Phippsburg CDP, Oak Creek CCD, Routt County, Colorado",08,107,225,125,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079271758785,100%,55.6%,44.4%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Remainder of Oak Creek CCD, Oak Creek CCD, Routt County, Colorado",08,107,2121,986,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079271799999,100%,46.5%,53.5%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Steamboat Springs city, Steamboat Springs CCD, Routt County, Colorado",08,107,12777,6736,6041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079349673825,100%,52.7%,47.3%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Remainder of Steamboat Springs CCD, Steamboat Springs CCD, Routt County, Colorado",08,107,5366,2736,2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079349699999,100%,51%,49%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Yampa town, Yampa CCD, Routt County, Colorado",08,107,452,254,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079393386475,100%,56.2%,43.8%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Remainder of Yampa CCD, Yampa CCD, Routt County, Colorado",08,107,483,296,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079393399999,100%,61.3%,38.7%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Census Tract 1, Routt County, Colorado",08,107,2155,1103,1052,2143,1097,1046,2143,6,1046,5,0,5,0,0,0,0,0,0,0,0,0,2088,1061,1027,55,36,19,53.6,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6,25.9,2143,7,5,0,0,0,0,0,0,0,55,0,0,0,0,0,2045,0,62,39,9,795,0,0,336,34,0,21,0,281,0,9,39,0,0,48,9,39,53.6,40.7,56.1,39.9,789,1,5,0,0,0,781,8,272,1335,117,36,76,431,446,441,314,35078,46397,34214,31161,2155,312,42,42,0,0,48,1896,39,254,27,1400000US08107000100,100%,51.2%,48.8%,100%,51.2%,48.8%,100%,48.8%,100%,0%,100%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,100%,50.8%,49.2%,100%,65.5%,34.5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,NaN%,100%,10.1%,0%,6.3%,0%,83.6%,0%,100%,75.9%,104.7%,74.4%,100%,132.3%,97.5%,88.8%,100%,14.5%,1.9%,1.9%,0%,0%,2.2%
"Census Tract 2, Routt County, Colorado",08,107,2031,1069,962,1859,997,862,1859,7,862,65,18,47,6,5,1,13,7,6,81,35,46,1669,916,753,231,99,132,39.8,42.0,-666666666.0,13.9,-666666666.0,-666666666.0,19.1,40.4,47.2,1940,30,111,18,13,1,178,16,0,0,190,0,5,0,13,23,1963,0,28,12,28,1078,6,6,487,32,4,126,49,329,69,28,12,0,5,40,16,24,39.8,32.8,46.9,41.9,1010,7,5,0,0,56,852,186,462,855,204,17,137,490,536,158,121,31121,28218,35900,-666666666,2029,225,199,199,0,5,34,1639,73,300,84,1400000US08107000200,100%,52.6%,47.4%,100%,53.6%,46.4%,100%,46.4%,100%,27.7%,72.3%,100%,83.3%,16.7%,100%,53.8%,46.2%,100%,43.2%,56.8%,100%,54.9%,45.1%,100%,42.9%,57.1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,6.6%,0.8%,25.9%,10.1%,67.6%,14.2%,100%,82.4%,117.8%,105.3%,100%,90.7%,115.4%,-2142176.2%,100%,11.1%,9.8%,9.8%,0%,0.2%,1.7%
"Census Tract 3, Routt County, Colorado",08,107,2210,1099,1111,2077,1041,1036,2077,6,1036,31,4,27,7,0,7,26,7,19,57,41,16,2056,1038,1018,78,41,37,49.8,51.5,58.0,7.7,-666666666.0,-666666666.0,33.6,51.4,33.9,2134,22,31,23,57,0,78,0,0,0,21,0,0,0,26,31,2132,0,43,10,25,1012,3,3,338,14,4,49,13,275,55,25,10,0,3,35,12,23,49.8,45.0,55.2,47.9,967,0,28,0,7,10,949,25,384,1088,276,30,112,501,502,409,296,37243,35679,40410,-666666666,2204,220,134,134,0,0,35,1947,36,281,16,1400000US08107000300,100%,49.7%,50.3%,100%,50.1%,49.9%,100%,49.9%,100%,12.9%,87.1%,100%,0%,100%,100%,26.9%,73.1%,100%,71.9%,28.1%,100%,50.5%,49.5%,100%,52.6%,47.4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,4.1%,1.2%,14.5%,3.8%,81.4%,16.3%,100%,90.4%,110.8%,96.2%,100%,95.8%,108.5%,-1790045.6%,100%,10%,6.1%,6.1%,0%,0%,1.6%
"Census Tract 4, Routt County, Colorado",08,107,3985,2060,1925,3645,1907,1738,3645,0,1738,13,0,13,66,16,50,186,110,76,75,27,48,3214,1765,1449,617,252,365,38.4,39.9,-666666666.0,-666666666.0,38.9,16.8,13.0,45.0,17.2,3720,0,13,141,186,10,515,0,0,0,431,0,0,0,186,0,3497,0,98,165,225,1554,180,180,1009,145,145,214,20,650,117,225,165,0,70,390,163,227,38.4,17.2,53.6,36.9,1372,0,0,21,134,27,1145,361,1071,1584,562,48,59,559,859,757,506,38676,26250,45397,18864,3938,490,360,360,156,90,144,3468,238,689,93,1400000US08107000400,100%,51.7%,48.3%,100%,52.3%,47.7%,100%,47.7%,100%,0%,100%,100%,24.2%,75.8%,100%,59.1%,40.9%,100%,36%,64%,100%,54.9%,45.1%,100%,40.8%,59.2%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,100%,100%,100%,100%,14.4%,14.4%,21.2%,2%,64.4%,11.6%,100%,44.8%,139.6%,96.1%,100%,67.9%,117.4%,48.8%,100%,12.4%,9.1%,9.1%,4%,2.3%,3.7%
